         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   242160    0.304    0.000    2.507    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:561(__setattr__)
     3568    0.016    0.000    2.415    0.001 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:311(repeat_interleave)
    10704    0.153    0.000    2.224    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:319(get_incs)
     3568    0.123    0.000    2.215    0.001 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:315(<listcomp>)
    77152    2.092    0.000    2.092    0.000 {built-in method torch.full}
211200/4800    0.490    0.000    2.086    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2411(train)
    14272    0.090    0.000    2.084    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:608(aggregate)
    57088    2.067    0.000    2.067    0.000 {method 'index_select' of 'torch._C.TensorBase' objects}
     7136    0.088    0.000    1.925    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\container.py:215(forward)
    28544    0.304    0.000    1.853    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\utils\functions.py:5(cumsum)
   154304    0.541    0.000    1.797    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:418(num_nodes)
    10704    0.336    0.000    1.795    0.000 C:\Users\elrod\AppData\Local\Temp\torch_geometric.nn.conv.transformer_conv_TransformerConv_propagate_yn2z6c5l.py:36(collect)
    14272    0.067    0.000    1.791    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\aggr\base.py:98(__call__)
